Year,school_id,School_Name,Report_Type,Number_Students_Served_Full_Year,Percent_Students_Attending_at_Least_90_Percent,Percent_Students_Receiving_Zero_Out_of_School_Suspensions,Percent_Teachers_Attending_at_Least_90_Percent,Percent_Teachers_Rated_Distinguished,Rated_as_Proficient,Admission_Type,October_1_Enrollment,PSSA_ELA_Percent_Students_Below_Basic_Grade_3,PSSA_ELA_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Math_Percent_Students_Below_Basic_Grade_3,PSSA_Math_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Science_Percent_Students_Below_Basic_Grades_4_to_8,PSSA_Science_Percent_Students_Proficient_or_Advanced_Grades_4_to_8,Percent_Metrics_Improving_All_Students,Year_to_Year_Teacher_Retention
2022-2023,1250,Joseph W. Catharine School,Elementary School,447,66.7,100,97,0,96.4,Catchment,409,35.1,36.5,18.9,20,67.6,64,18.9,14.8,35.4,33.9,61.5,79.4
2022-2023,1380,Thomas G. Morton School,Elementary School,424,59,96.5,85.7,0,84.6,Catchment,367,35.6,38.9,25.4,24.6,80.3,70.4,6.6,8.3,29.8,40.4,92.3,85.3
2022-2023,1390,Samuel Powel School,Elementary School,317,79.5,99.7,95.7,5.9,94.1,Catchment,295,8.5,14.3,66,56.1,21.3,22.5,55.3,51,17.7,62.8,76.9,81.8
2022-2023,1400,John M. Patterson School,Elementary School,420,57.6,97.6,79.2,0,100,Catchment,355,39.1,39.8,20.3,22.8,64.2,58.2,11.9,14.2,20.9,44.8,38.5,84
2022-2023,2320,Stephen Girard School,Elementary School,336,54.2,100,100,22.2,77.8,Catchment,291,25.8,29.8,36.4,34.7,46.3,46.4,26.9,28,15.8,52.6,92.3,91.3
2022-2023,2520,Abram S. Jenks School,Elementary School,252,83.7,100,76.2,33.3,66.7,Catchment,241,4.6,5,61.4,61.4,22.7,16.7,59.1,62.8,2.9,88.6,53.9,85.7
2022-2023,2540,Francis S. Key School,Elementary School,415,64.1,99.8,90.9,44.8,55.2,Catchment,375,41.7,26.4,25,31.7,58,50.7,24,20,18.9,43.4,76.9,94.1
2022-2023,3308,Inquiry Charter School,Elementary School,273,79.9,98.9,Not Applicable,Data Unavailable,Data Unavailable,Citywide,268,24.4,25.2,29.3,37,46.3,47.1,29.3,25.2,20.9,55.8,33.3,Data Unavailable
2022-2023,3378,Philadelphia Montessori Charter School,Elementary School,279,52.7,96.1,Not Applicable,Data Unavailable,Data Unavailable,Citywide,238,16.3,20.8,20.9,24.7,65.1,63.6,7,10.4,24.2,48.5,41.7,Data Unavailable
2022-2023,3408,Mastery Charter School at Mann,Elementary School,564,69.3,86.4,Not Applicable,Data Unavailable,Data Unavailable,Catchment,534,29,28.5,31.9,26.5,61.4,65.4,15.7,7.4,25.6,28.1,75,Data Unavailable
