Year,School_ID,School_Name,Report_Type,Admission_Type,Number_Students_Served_Full_Year,October_1_Enrollment,Percent_11th_Grade_Students_Proficient_All_Three_Keystones,Percent_11th_Grade_Students_Below_Basic_Keystone_Algebra_I,Percent_11th_Grade_Students_Proficient_Keystone_Algebra_I,Percent_11th_Grade_Students_Below_Basic_Keystone_Biology,Percent_11th_Grade_Students_Proficient_Keystone_Biology,Percent_11th_Grade_Students_Below_Basic_Keystone Literature,Percent_11th_Grade_Students_Proficient_Keystone_Literature,Percent_12th_Grade_CTE_Students_Meeting_Industry_Standards,Ninth_Grade_On_Track_Rate,Percent_Metrics_Improving_All_Students,Percent_Students_Attending_at_Least_90_Percent,Number_Dropouts_Grades_7_to_12,Percent_Students_Receiving_Zero_Out_of_School_Suspensions,Percent_Students_Completing_the_FAFSA_by_End_of_12th_Grade,First_Fall_Matriculation,Four_Year_Cohort_Graduation_Rate,Percent_Teachers_Attending_at_Least_90_Percent,Percent_Teachers_Rated_Distinguished,Percent_Teachers Rated as Proficient,Year_to_Year_Teacher_Retention
2022-2023,1010,John Bartram High School,High School,Catchment,617,478,4.2,62.3,7.3,61.2,17.9,56.3,17.2,Insufficient Sample,71.1,58.3,33.7,41,80.6,30.7,24.2,70.5,74.3,4,96,73.2
2022-2023,1020,West Philadelphia High School,High School,Catchment,608,545,0,54.1,9.8,63.8,10.3,35.6,17,20,76.1,38.5,30.3,34,94.6,30.5,41.5,82.1,85.7,15.6,81.3,79.6
2022-2023,1030,High School of the Future,High School,Citywide,578,569,4.8,46.4,5.6,58.1,8.6,20.9,30.4,Insufficient Sample,62.9,58.3,43.4,20,90.7,44.9,22.7,92.4,68.2,0,93.1,72.9
2022-2023,1050,Paul Robeson High School for Human Services,High School,Citywide,341,313,15.8,21.1,18.4,34.7,24,5.3,53.3,Insufficient Sample,72.4,50,67.7,9,99.4,61.2,47.2,96,80,35.3,64.7,90
2022-2023,1100,William L. Sayre High School,High School,Catchment,474,355,1.7,72.2,3.7,69.6,1.8,40,16.4,Insufficient Sample,87.7,33.3,36.7,27,81.2,19.3,31.8,63,91.9,0,96.7,86.1
2022-2023,1190,Motivation High School,High School,Criteria-Based,363,333,3.9,47.4,6.6,53.4,6.9,13.5,31.1,Insufficient Sample,91.6,41.7,76,11,97,46.1,47.1,87.8,66.7,0,93.3,87
2022-2023,2000,South Philadelphia High School,High School,Catchment,754,588,1.3,66.2,10.3,65.5,5.2,42.6,23.4,Insufficient Sample,67.9,66.7,39.7,77,92.3,17.6,32.6,67.3,87.7,17.1,80.5,87.9
2022-2023,2010,Benjamin Franklin High School,High School,Catchment,586,464,2.3,69.1,10.7,69.2,11.5,55.4,13.3,44.4,57.1,53.9,34,49,93.2,22,21.1,71.4,81,0,100,76.1
2022-2023,2020,High School for Creative and Performing Arts,High School,Criteria-Based,750,744,28.4,11.1,38.3,8.3,55.6,0.6,78.4,65,96.1,25,76.9,13,97.1,53.4,69,99.5,78.4,22.6,77.4,84.2
2022-2023,2140,Julia R. Masterman School,High School,Criteria-Based,460,458,45.8,0,100,0,98.3,0,100,Insufficient Sample,100,58.3,95.4,2,100,50.9,89.3,99.1,86.4,70.8,29.2,83.1
2022-2023,2160,Furness High School,High School,Catchment,858,736,9.9,45,20.9,49.2,17.2,33.9,35.4,Insufficient Sample,79.4,33.3,53.6,84,95.1,30.3,39,62.4,79.7,0,95.9,93.4
2022-2023,2290,Franklin Learning Center,High School,Criteria-Based,909,882,21,13.1,31,17.8,40.4,7.5,73.3,84.9,85.5,61.5,60.1,40,97.3,37.4,58.2,87,80.7,10.9,89.1,84.2
