Year,school_id,School_Name,Report_Type,Number_Students_Served_Full_Year,Percent_Students_Attending_at_Least_90_Percent,Percent_Students_Receiving_Zero_Out_of_School_Suspensions,Percent_Teachers_Attending_at_Least_90_Percent,Percent_Teachers_Rated_Distinguished,Rated_as_Proficient,Admission_Type,Number_Dropouts_Grades_7_to_12,October_1_Enrollment,PSSA_ELA_Percent_Students_Below_Basic_Grade_3,PSSA_ELA_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Math_Percent_Students_Below_Basic_Grade_3,PSSA_Math_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Science_Percent_Students_Below_Basic_Grades_4_to_8,PSSA_Science_Percent_Students_Proficient_or_Advanced_Grades_4_to_8,Percent_Metrics_Improving_All_Students,Year_to_Year_Teacher_Retention
2022-2023,1200,John Barry School,K-8 School,602,37.5,96.8,71.4,14.3,78.6,Catchment,3,500,58,43.5,10,14,79.1,81.4,4.7,4.1,42.9,21.4,64.3,79
2022-2023,1230,William C. Bryant School,K-8 School,407,44.2,91.4,71,7.7,92.3,Catchment,3,329,27.3,28.7,21.2,16.6,61.3,74.2,6.5,2.2,50,20,85.7,33.3
2022-2023,1260,Benjamin B. Comegys School,K-8 School,365,33.7,85.2,55.6,0,87.5,Catchment,1,319,30,28.9,13.3,16.8,62.1,76.7,10.3,5.2,38.2,25.5,57.1,60.7
2022-2023,1280,Sadie Alexander School,K-8 School,586,96.6,100,92.7,73.7,26.3,Catchment,0,578,5.6,2.9,83.3,85.4,6.9,8.9,81.9,77.1,6.7,89.2,57.1,90
2022-2023,1290,Andrew Hamilton School,K-8 School,406,45.1,94.8,86.7,0,76,Catchment,0,347,33.3,33.8,14.8,16.9,77.8,78.8,7.4,3.3,36.1,30.2,85.7,83.9
2022-2023,1300,Avery D. Harrington School,K-8 School,395,55.2,91.9,77.4,0,96.3,Catchment,1,338,34.8,33.8,21.7,24.5,69.6,73.9,13,8.4,43.4,22.4,92.9,75
2022-2023,1340,Henry C. Lea School,K-8 School,500,69,94.4,84.6,13.3,86.7,Catchment,1,451,34,28.2,32.1,39.4,56.1,58.4,24.6,21.2,27.8,48.6,71.4,77.5
2022-2023,1350,William C. Longstreth School,K-8 School,301,54.2,87.7,91.3,12.5,81.3,Catchment,1,249,47.6,32.2,4.8,16.4,Insufficient Sample,73.8,Insufficient Sample,3.5,40.7,35.2,50,62.5
2022-2023,1360,Morton McMichael School,K-8 School,337,41.5,90.2,88.5,12.5,83.3,Catchment,1,279,33.3,35.6,30.3,16,66.7,79.2,27.3,7.1,46.7,16.7,71.4,89.3
2022-2023,1370,S. Weir Mitchell School,K-8 School,401,34.9,92.5,87.5,12,88,Catchment,0,338,33.3,38.1,7.4,14.9,75,87.4,0,3.7,47.5,24.6,42.9,75
2022-2023,1410,James Rhoads School,K-8 School,516,41.3,93.4,79.6,2.8,97.2,Catchment,1,419,36.4,35.6,16.4,19.6,72.7,73.5,9.1,8.2,42.2,33.3,64.3,79.6
2022-2023,1420,Martha Washington School,K-8 School,276,43.1,93.8,88.5,13.6,81.8,Catchment,1,223,Insufficient Sample,33.5,Insufficient Sample,21.5,65,63,20,9.3,48.2,28.6,41.7,89.3
2022-2023,1440,Penrose School,K-8 School,474,46.2,86.7,83.7,0,93.3,Catchment,1,401,40.5,30.7,35.7,24.9,48.8,69,24.4,7.9,48.4,25.8,50,78.6
2022-2023,1460,Add B. Anderson School,K-8 School,456,48,88.8,86.5,0,100,Catchment,1,385,42.4,38,15.2,15.7,63.9,74.9,0,3.7,48.6,15.3,50,83.8
2022-2023,1470,Alain Locke School,K-8 School,351,47.3,97.7,75.8,0,93.1,Catchment,0,282,29.6,36.1,33.3,20.5,63,72.7,33.3,12.1,41.4,20.7,64.3,80.6
2022-2023,1490,Rudolph Blankenburg School,K-8 School,305,41,86.2,83.9,5.6,88.9,Catchment,1,240,41.7,30.8,20.8,16.6,76,76,12,4.7,43.1,31,57.1,60.6
2022-2023,2190,D. Newlin Fell School,K-8 School,550,67.3,97.3,86.5,6.3,93.8,Catchment,4,486,17.8,17.3,37.8,46.1,28.9,43.8,48.9,28.2,27.4,51.9,14.3,92.1
2022-2023,2210,Bache-Martin School,K-8 School,528,70.1,97.2,83.9,0,100,Catchment,1,498,30.4,26.1,46.4,41.6,36.2,46.5,48.3,32.9,34.2,52.4,71.4,81.1
2022-2023,2240,F. Amedee Bregy School,K-8 School,246,54.9,95.9,84.6,0,100,Catchment,1,224,26.9,28.4,26.9,35.5,51.9,51.2,25.9,20.4,37,46.3,64.3,96.3
